
VCD+ Writer F-2011.12-SP1 Copyright (c) 1991-2012 by Synopsys Inc.
The file '/afs/ece.cmu.edu/usr/xianglin/Private/18341/p4/inter.vpd' was opened successfully.
                     sndCalc    rcvCalc rem     rcv_msg         done    OK
                   0 xxxx       xxxx    xxxx    xxxxxxxxxxxxxxxx        0       x
                   1 ffff       ffff    ffff    0000000000000000        0       0
                  25 fffe       fffe    ffff    0000000000000001        0       0
                  35 fffc       fffc    ffff    0000000000000003        0       0
                  45 fff8       fff8    ffff    0000000000000007        0       0
                  55 fff0       fff0    ffff    000000000000000f        0       0
                  65 7fe5       7fe5    ffff    000000000000001e        0       0
                  75 7fcf       7fcf    ffff    000000000000003d        0       0
                  85 7f9b       7f9b    ffff    000000000000007b        0       0
                  95 7f33       7f33    ffff    00000000000000f7        0       0
                 105 fe66       fe66    ffff    00000000000001ee        0       0
                 115 fccc       fccc    ffff    00000000000003dd        0       0
                 125 f998       f998    ffff    00000000000007bb        0       0
                 135 f330       f330    ffff    0000000000000f77        0       0
                 145 e660       e660    ffff    0000000000001eef        0       0
                 155 ccc0       ccc0    ffff    0000000000003ddf        0       0
                 165 1985       1985    ffff    0000000000007bbe        0       0
                 175 b30f       b30f    ffff    000000000000f77d        0       0
                 185 661e       661e    ffff    000000000001eefb        0       0
                 195 cc3c       cc3c    ffff    000000000003ddf6        0       0
                 205 9878       9878    ffff    000000000007bbed        0       0
                 215 30f0       30f0    ffff    00000000000f77db        0       0
                 225 61e0       61e0    ffff    00000000001eefb6        0       0
                 235 43c5       43c5    ffff    00000000003ddf6d        0       0
                 245 878a       878a    ffff    00000000007bbeda        0       0
                 255 0f14       0f14    ffff    0000000000f77db5        0       0
                 265 1e28       1e28    ffff    0000000001eefb6a        0       0
                 275 bc55       bc55    ffff    0000000003ddf6d5        0       0
                 285 78aa       78aa    ffff    0000000007bbedab        0       0
                 295 7151       7151    ffff    000000000f77db57        0       0
                 305 62a7       62a7    ffff    000000001eefb6af        0       0
                 315 c54e       c54e    ffff    000000003ddf6d5e        0       0
                 325 8a9c       8a9c    ffff    000000007bbedabd        0       0
                 335 1538       1538    ffff    00000000f77db57b        0       0
                 345 2a70       2a70    ffff    00000001eefb6af6        0       0
                 355 d4e5       d4e5    ffff    00000003ddf6d5ed        0       0
                 365 a9ca       a9ca    ffff    00000007bbedabdb        0       0
                 375 5394       5394    ffff    0000000f77db57b7        0       0
                 435 272d       272d    ffff    0000001eefb6af6f        0       0
                 445 ce5f       ce5f    ffff    0000003ddf6d5edf        0       0
                 455 1cbb       1cbb    ffff    0000007bbedabdbe        0       0
                 465 b973       b973    ffff    000000f77db57b7d        0       0
                 475 f2e3       f2e3    ffff    000001eefb6af6fa        0       0
                 485 e5c6       e5c6    ffff    000003ddf6d5edf5        0       0
                 495 4b89       4b89    ffff    000007bbedabdbea        0       0
                 505 1717       1717    ffff    00000f77db57b7d5        0       0
                 515 ae2b       ae2b    ffff    00001eefb6af6fab        0       0
                 525 5c56       5c56    ffff    00003ddf6d5edf57        0       0
                 535 b8ac       b8ac    ffff    00007bbedabdbeae        0       0
                 545 7158       7158    ffff    0000f77db57b7d5d        0       0
                 555 e2b0       e2b0    ffff    0001eefb6af6faba        0       0
                 565 c560       c560    ffff    0003ddf6d5edf575        0       0
                 575 8ac0       8ac0    ffff    0007bbedabdbeaeb        0       0
                 585 1580       1580    ffff    000f77db57b7d5d7        0       0
                 595 ab05       ab05    ffff    001eefb6af6fabaf        0       0
                 605 560a       560a    ffff    003ddf6d5edf575f        0       0
                 615 2c11       2c11    ffff    007bbedabdbeaebf        0       0
                 625 d827       d827    ffff    00f77db57b7d5d7f        0       0
                 635 304b       304b    ffff    01eefb6af6fabafe        0       0
                 645 e093       e093    ffff    03ddf6d5edf575fd        0       0
                 655 4123       4123    ffff    07bbedabdbeaebfa        0       0
                 665 0243       0243    ffff    0f77db57b7d5d7f5        0       0
                 675 0486       0486    ffff    1eefb6af6fabafea        0       0
                 685 090c       090c    ffff    3ddf6d5edf575fd4        0       0
                 695 921d       921d    ffff    7bbedabdbeaebfa9        0       0
                 705 243a       243a    ffff    f77db57b7d5d7f53        0       0
                 715 c871       c871    243a    f77db57b7d5d7f53        0       0
                 725 90e2       90e2    243a    f77db57b7d5d7f53        0       0
                 735 a1c1       a1c1    243a    f77db57b7d5d7f53        0       0
                 745 4382       4382    243a    f77db57b7d5d7f53        0       0
                 755 0701       0701    243a    f77db57b7d5d7f53        0       0
                 765 0e02       0e02    243a    f77db57b7d5d7f53        0       0
                 775 9c01       9c01    243a    f77db57b7d5d7f53        0       0
                 785 3802       3802    243a    f77db57b7d5d7f53        0       0
                 795 f001       f001    243a    f77db57b7d5d7f53        0       0
                 805 e002       e002    243a    f77db57b7d5d7f53        0       0
                 815 4001       4001    243a    f77db57b7d5d7f53        0       0
                 825 8002       8002    243a    f77db57b7d5d7f53        0       0
                 835 8001       8001    243a    f77db57b7d5d7f53        0       0
                 845 0002       0002    243a    f77db57b7d5d7f53        0       0
                 855 0004       0004    243a    f77db57b7d5d7f53        0       0
                 865 800d       800d    243a    f77db57b7d5d7f53        1       1
msg received! msg: f77db57b7d5d7f53, OK = 1
$finish called from file "crc16.sv", line 263.
$finish at simulation time                  875
Simulation complete, time is 875.
